key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-169523195,Spatial Multiresolution Analysis Approach to Identify Crash Hotspots and Estimate Crash Risk,2021,,,Journal of Transportation Engineering Part A: Systems,24732907 (ISSN),147,5,,"Katicha, S.W. and Khoury, J. and Flintsch, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101746523&doi=10.1061%2fJTEPBS.0000516&partnerID=40&md5=cb817fea1d6097ace0976f90596ebd19,English,American Society of Civil Engineers (ASCE),"[""Center for Sustainable Transportation Infrastructure, Virginia Tech Transportation Institute, Blacksburg, VA  24061, United States"", ""Dept. of Civil Engineering, Lebanese American Univ., P.O. Box 36, Byblos, Lebanon""]","In this paper, we evaluate the performance of a spatial multiresolution analysis (SMA) method, that behaves like a variable bandwidth kernel density estimation (KDE) method, for hazardous road segments identification (HRSI) and crash risk estimation(expected number of crashes). The use of spatial analysis for HRSI is well documented in the literature, especially with KDE methods. The proposed SMA, which is based on the Haar wavelet transform, is similar to the KDE method with the additional benefit of allowing the bandwidth to be different at different road segments depending on how homogenous the segments are. Furthermore, the optimal bandwidth at each road segment is determined solely based on the data by minimizing an unbiased estimate of the mean square error for Poisson data called Poisson's unbiased risk estimate (PURE). We compare SMA with the state-of-the-practice crash analysis method and the empirical Bayes (EB) method, in terms of their HRSI ability and their ability to predict future crashes. The results indicate that SMA may outperform EB, at least with the crash data of the entire Virginia interstate network used in this paper. The SMA is computationally fast, does not require any data other than crash counts and their location, and is implemented in an Excel spreadsheet freely available for download. Therefore, it can be used for quick large-scale network screening before a more complex analysis that complements crash counts with other crash explanatory variables, such as traffic volume, is used for selected areas of interest. © 2021 American Society of Civil Engineers.","Export Date: 10 May 2021
Correspondence Address: Katicha, S.W.; Center for Sustainable Transportation Infrastructure, United States; email: skaticha@vtti.vt.edu | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded"", ""taniabatistela""=>""Excluded""} | RAYYAN-LABELS: KDE,SMA,Revisado,EmpiricalBayes | RAYYAN-EXCLUSION-REASONS: Highway,interstate | USER-NOTES: {""Fagner ""=>[""P 31\nCS 1.4"", ""data of the entire Virginia interstate network used in this paper""]}",,Crash analysis;Empirical Bayes;Hotspot;Kernel density estimation;Optimization;Wavelet;Bandwidth;Mean square error;Multiresolution analysis;Risk assessment;Roads and streets;Spatial variables measurement;Spreadsheets;Excel spreadsheets;Explanatory variables;Haar wavelet transform;Kernel Density Estimation;Large-scale network;State of the practice;Unbiased risk estimates;Variable bandwidths;Risk perception;accident;Bayesian analysis;empirical analysis;estimation method;image resolution;optimization;risk assessment;spatial analysis;Virginia,,
rayyan-169523196,Determining Critical Combinations of Safety Fatality Causes Using Spectral Clustering and Computational Data Mining Algorithms,2021,,,Journal of Construction Engineering and Management,07339364 (ISSN),147,5,,"Assaad, R. and El-Adaway, I.H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102430234&doi=10.1061%2f%28ASCE%29CO.1943-7862.0002040&partnerID=40&md5=13a1267dba71625140dff3deff367eed,English,American Society of Civil Engineers (ASCE),"Dept. of Civil, Architectural, and Environmental Engineering, Missouri Univ. of Science and Technology, Rolla, MO  65409, United States","Although the Occupational Safety and Health Administration (OSHA) has played a key role in decreasing safety accidents on construction sites, such reduction is not well perceived among the different types of incidents. For instance, while the injuries resulting in days away from work were substantially decreased, construction fatalities rose in the previous years. While previous safety fatality research work concentrated on studying how different variables could influence the number of fatalities in the construction industry, there is a lack of research efforts that studied the associations, interdependencies, and critical combinations between the different fatality causes. As such, to solve the critical fatality problem that the construction industry is facing, more advanced management methods should be applied. That said, this paper aims to address this important knowledge gap through a methodology based on data-driven computational algorithms. The data analyzed in this paper is comprised of 100 OSHA national fatal accident case files that are prepared by OSHA compliance officers. First, a reference matrix of 100 case files was constructed based on 60 causes that have shown to be the most pertinent to construction fatalities based on a previous study. Second, the spectral clustering computational algorithm was used to cluster the fatality causes based on the strength of their interconnectivities. Third, the frequent pattern data mining and Apriori algorithms were used to determine the critical combinations and associations of causes that mostly contribute to fatal accidents on construction sites. The findings indicate that the 60 fatality causes could be categorized into five clusters. Thus, the most critical combination of fatality causes was determined within each one of the identified clusters. Also, the findings reflected that while safety accidents could happen due to factors or causes that are individually critical, fatalities on construction sites could also result due to a combination of factors that might not be perceived to be critical on the individual level but rather become critical when combined with other factors. This study adds to the body of knowledge by proposing a data-driven accident causation approach to analyze construction fatality accidents, which adds a different dimension to the traditional analysis of safety accidents by factoring possible associations and combinations between different causes. That said, this paper equips safety professionals with a proactive approach that allows them to take the needed preventive actions to avoid fatalities on construction sites by identifying, in hindsight, the critical combinations and associations of fatality causes. Ultimately, the outcomes of this paper would enhance the safety performance in the construction industry and prevent construction fatalities. © 2021 American Society of Civil Engineers.","Export Date: 10 May 2021
CODEN: JCEMD
Correspondence Address: El-Adaway, I.H.; Dept. of Civil, United States; email: eladaway@mst.edu | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Outros",,Accidents;Clustering algorithms;Construction industry;Data mining;Occupational risks;Compliance officers;Computational algorithm;Construction fatalities;Construction sites;Occupational safety and health administrations;Pro-active approach;Safety professionals;Spectral clustering;Accident prevention;Algorithms,,
rayyan-169523197,Development of Model for Road Crashes and Identification of Accident Spots,2021,,,International Journal of Intelligent Transportation Systems Research,13488503 (ISSN),19,1,99-111,"Bhavsar, R. and Amin, A. and Zala, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086171463&doi=10.1007%2fs13177-020-00228-z&partnerID=40&md5=8f7cbbb64f7ef19e028e14b9fc5e1adb,English,Springer,"Department of Civil Engineering, Birla Vishvakarma Mahavidyalaya Engineering College, Vallabh Vidyanagar, India","The aim of this study is to assess the safety of multi-lane rural highway in India. This paper shows the application of a generalized linear modeling technique for the analysis of road accidents on the Indian National Highway. Speed, traffic flow and road characteristics data on four-lane dived rural highway in Dahod are analyzed. The study proposes a novel approach to include average daily traffic (ADT) and average spot speed (AS) in the accident prediction model for a rural highway. The model has been developed for accidents per km as a dependent variable and significant variables such as Junction density, village settlement nearby, ADT, AS as independent variables. The findings from the model offer a better estimate of accidents for a multilane divided rural highway. Statistical Models cannot fully reflect the characteristics of each section due to the heterogeneous nature of road accidents, so the association rule mining technique has been used to identify accident spots as it can deal with the heterogeneous nature of accidents. Accident spots have been assessed by correlating various attributes to the severity of the accident (fatal, non-fatal). This research will help to improve road safety on rural highways. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Cited By :1
Export Date: 10 May 2021
Correspondence Address: Bhavsar, R.; Department of Civil Engineering, India; email: brejoice5.br@gmail.com | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded"", ""taniabatistela""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Highway",,Accident-prone locations;Association rule mining;Generalized linear model;Road accidents;Motor transportation;Predictive analytics;Rural roads;Traffic control;Accident prediction model;Average daily traffics;Dependent variables;Independent variables;Rule mining techniques;Rural highways;Significant variables;Highway accidents,,
rayyan-169523198,Mapping road traffic crash hotspots using GIS-based methods: A case study of Muscat Governorate in the Sultanate of Oman,2021,,,Spatial Statistics,22116753 (ISSN),42,,,"Al-Aamri, A.K. and Hornby, G. and Zhang, L.-C. and Al-Maniri, A.A. and Padmadas, S.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087987212&doi=10.1016%2fj.spasta.2020.100458&partnerID=40&md5=7a4fb35b557a3a85504c59dd8691bc17,English,Elsevier B.V.,"[""Ministry of Higher Education, Oman"", ""Geography and Environmental Science, University of Southampton, United Kingdom"", ""Department of Social Statistics and Demography, University of Southampton, United Kingdom"", ""Southampton Statistical Sciences Research Institute, University of Southampton, United Kingdom"", ""Strategy and Planning Department, Oman Medical Speciality Board, Oman"", ""Centre for Global Health, Population, Poverty and Policy, University of Southampton, United Kingdom""]","Objective: Road traffic crashes (RTCs) are a major global public health problem and cause substantial burden on national economy and healthcare. There is little systematic understanding of the geography of RTCs and the spatial correlations of RTCs in the Middle-East region, particularly in Oman where RTCs are the leading cause of disability-adjusted life years lost. The overarching goal of this paper is to evaluate the spatial and temporal dimensions, identifying the high risk areas or hot-zones where RTCs are more frequent, using the geocoded data from the Muscat governorate. Data: This study is based on data drawn from the Royal Oman Police (ROP) sample iMAAP database and the National Road Traffic Crash (NRTC) database, managed by the ROP and made available for research use by The Research Council of the Sultanate of Oman. The data covered the period from 1st January 2010 to 2nd November 2014. Only RTCs occurred in Muscat Governorate were included in the study. The study is based on 12,438 registered incidents, however, due to disconnections found on road network, RTCs occurred on disconnected parts were removed and the final analysis considered only 9,357 incidents. Methods: We considered an adjacency network analysis integrating GIS and RTC data using robust estimation techniques including: Kernel Density Estimation (KDE) of both 1-D and 2-D space dimensions, Network-based Nearest Neighbour Distance (Net-NND), Network-based K-Function, Random Forest Algorithm (RF) and spatiotemporal Hot-zone analysis. Findings: The analysis highlight evidence of spatial clustering and recurrence of RTC hot-zones on long roads demarcated by intersections and roundabouts in Muscat. The findings confirm that road intersections elevate the risk of RTCs than other effects attributed to road geometry features. The results from GIS application of NRTC data are validated using the sample data generated by iMAAP database. Conclusion: The findings of this study provide statistical evidence and confirm our research hypothesis that road intersections (roundabouts, crosses and bridges) represent higher risk of causing RTCs than other road geometric features. The results also demonstrate systematic quantitative evidence of spatio-temporal patterns associated with the crash risk over different locations on road networks in Muscat. More importantly, the findings clearly pinpoint the importance and influence of the road and traffic related features in road crash spatial analysis. © 2020 Elsevier B.V.","Cited By :2
Export Date: 10 May 2021
Correspondence Address: Al-Aamri, A.K.; Ministry of Higher EducationOman; email: amira.alaamri@mohe.gov.om | RAYYAN-INCLUSION: {""LUCAS""=>""Included"", ""Fagner ""=>""Included"", ""taniabatistela""=>""Included""} | RAYYAN-LABELS: KDE,Cluster,Net-KDE,Revisado | USER-NOTES: {""Fagner ""=>[""P 80 \nCS 3.4""]}",,Clustering;Kernel Density Estimation;Road geometry features;Road traffic crashes;RTC hot-zones;Spatiotemporal modelling,,
rayyan-169523199,An accelerated hierarchical Bayesian crash frequency model with accommodation of spatiotemporal interactions,2021,,,Accident Analysis and Prevention,00014575 (ISSN),153,,,"Cui, H. and Xie, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101335876&doi=10.1016%2fj.aap.2021.106018&partnerID=40&md5=9d4c6f2f8d2019ed9d0097ac4bcd78aa,English,Elsevier Ltd,"[""Department of Civil and Environmental Engineering, National University of Singapore117576, Singapore"", ""Department of Civil & Environmental Engineering, Old Dominion University, Norfolk, VA  23529, United States""]","Although spatial and temporal correlations of crash observations have been well addressed in the literature, the interactions between them are rarely studied. This study proposes a Bayesian spatiotemporal interaction (BSTI) approach for crash frequency modeling with an integrated nested Laplace approximation (INLA) method to greatly expedite the Bayesian estimation process. Manhattan, which is the most densely populated urban area of New York City, is selected as the study area. Hexagons are used as the basic geographic units to capture crash, transportation, land use, and demo-economic data from 2013 to 2019. A series of Bayesian models with various spatiotemporal specifications are developed and compared. The BSTI model with Type II interaction, which assumes that the structured temporal random effect interacts with the unstructured spatial random effect is found to outperform the others in terms of goodness-of-fit and the ability to reduce the dependency of residuals. It is also found that the unobserved heterogeneity is mostly attributed to the spatial effects instead of temporal effects. In addition, the BSTI Type II model also yields the lowest predictive error when the last year's data are used as the test set. The proposed BSTI approach can potentially advance safety analytics by achieving high prediction accuracy and computational efficiency while maintaining its interpretability on the effects of contributing factors and the unobserved heterogeneity. © 2021 Elsevier Ltd","Export Date: 10 May 2021
CODEN: AAPVB
Correspondence Address: Xie, K.; Department of Civil & Environmental Engineering, United States; email: kxie@odu.edu | RAYYAN-INCLUSION: {""LUCAS""=>""Included"", ""Fagner ""=>""Included"", ""taniabatistela""=>""Included""} | RAYYAN-LABELS: BSTI,ver++,Revisado,Interessante,StatisticalMethods,HierarquicalBayesian,BayesianSpatiotemporalInteraction | USER-NOTES: {""Fagner ""=>[""P 94\nCS 7.8""], ""taniabatistela""=>[""parece sensacional""]}",,Bayesian approach;Crash frequency;Integrated nested Laplace approximation;Spatiotemporal interaction;article;human;New York;prediction;urban area,,
rayyan-169523200,Probabilistic prediction of roadside accidents in outer lane of small radius curve sections of highways,2021,,,Harbin Gongye Daxue Xuebao/Journal of Harbin Institute of Technology,03676234 (ISSN),53,3,178-185,"Cheng, G. and Cheng, R. and Xu, L.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104035989&doi=10.11918%2f201912094&partnerID=40&md5=3f6e0c7049d15b526c3adcec7f11db0c,Chinese,Harbin Institute of Technology,"[""School of Traffic and Transportation, Northeast Forestry University, Harbin, 150040, China"", ""Chongqing Key Laboratory of Traffic & Transportation (Chongqing Jiaotong University), Chongqing, 404100, China"", ""School of Civil Engineering, Changchun Institute of Technology, Changchun, 130012, China""]","To reduce the probability of roadside accidents in small curve sections of highways, eight roadside accident risk factors including road geometric design indexes (horizontal curve radius, hard shoulder width, longitudinal slope, superelevation slope, and widen value of curve), pavement condition (adhesion coefficient), and traffic characteristics (running speed and vehicle type) were chosen to carry out PC-crash simulation test, and a total of 12 800 accident data sets were collected. Chi-squared automatic interaction detection (CHAID) decision tree technique was employed to identify significant risk factors, and the comprehensive influence of the interaction of various factors on roadside accidents was discussed. These factors were then chosen as predictors of probability of roadside accidents in Bayesian network analysis to establish the probabilistic prediction model of roadside accidents. Finally, according to probabilistic prediction results, the identification method for roadside accidents black spots was proposed and verified through tests. Results show that running speed had the greatest effect on the occurrence of roadside accidents, followed by horizontal curve radius, vehicle type, adhesion coefficient, and hard shoulder width. When 80 km/h < v≤100 km/h and 300 m < R≤600 m, with the hard shoulder width not less than 1.5 m, the risk of roadside accidents could be significantly reduced. Compared with cars, trucks were more prone to be involved in roadside accidents, and the hard shoulder width had a more significant impact on the roadside accidents of trucks. When 100 km/h < v≤120 km/h and 300 m < R≤600 m, with the hard shoulder width not less than 2.25 m, the risk of roadside accidents of trucks could be significantly reduced. Copyright ©2021 Journal of Harbin Institute of Technology.All rights reserved.","Export Date: 10 May 2021
CODEN: HPKYA
Correspondence Address: Cheng, R.; School of Traffic and Transportation, China; email: ruicheng1992@yeah.net | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Highway,foreign language",,Bayesian network;CHAID decision tree;PC-crash;Probabilistic prediction;Roadside accidents;Traffic engineering;Adhesion;Automobiles;Bayesian networks;Crashworthiness;Curves (road);Decision trees;Forecasting;Highway accidents;Highway planning;Predictive analytics;Shoulders (road);Trucks;Adhesion coefficient;Automatic interaction detection;Decision tree techniques;Horizontal curve radius;Identification method;Superelevation slopes;Traffic characteristics;Roadsides;Radius;Cesarean Section,,
rayyan-169523201,Biogas modeling by fuzzy comprehensive index of municipal wastewater and sludge,2021,,,Environmental Progress and Sustainable Energy,19447442 (ISSN),40,2,,"Anaokar, G.S. and Khambete, A.K. and Christian, R.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089510100&doi=10.1002%2fep.13502&partnerID=40&md5=94232d2dc8c75ceba5ebc7b5b8dba799,English,John Wiley and Sons Inc,"Department of Civil Engineering, Sardar Vallabhbhai National Institute of Technology, Surat, Gujarat, India","Multiple parameter comprehensive index by fuzzy logic is an innovative approach toward environmental indexing. An attempt was carried out to express strength of municipal wastewater and sludge considering their potential for biogasification in terms of wastewater comprehensive index (WWCI) and sludge comprehensive index (SCI), respectively. Both these indices were calculated using fuzzy multiple criteria decisions making (FMCDM). Further biogas was predicted using these WWCI and SCI by multiple linear regression. A significant relation was found in suspended solids concentration of influent wastewater and digester feedstock with WWCI and SCI, respectively. Considering this linear relation, an empirical equation was developed consisting WWCI and SCI giving biogas, which was found a user friendly and precise over established biogas prediction models. As both of these indices will be obtained simply by measuring suspended solids concentration by digital inline meter at wastewater treatment plant there will be no any need to practice laborious sampling, characterization, and calculations. © 2020 American Institute of Chemical Engineers","Export Date: 10 May 2021
CODEN: ENVPD
Correspondence Address: Anaokar, G.S.; Department of Civil Engineering, India; email: gsanaokar@gmail.com | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Ambiental",,aggregation;biogas;digital meter;fuzzy logic;linearity;prediction;statistical regression;suspended solids;Biogas;Fuzzy logic;Linear regression;Predictive analytics;Wastewater treatment;Comprehensive indices;Influent wastewaters;Innovative approaches;Multiple linear regressions;Multiple parameters;Multiple-criteria decisions;Municipal wastewaters;Wastewater treatment plants;Sewage treatment plants,,
rayyan-169523202,Predicting and interpreting spatial accidents through MDLSTM,2021,,,International Journal of Environmental Research and Public Health,16617827 (ISSN),18,4,1-19,"Xiao, T. and Lu, H. and Wang, J. and Wang, K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100233862&doi=10.3390%2fijerph18041430&partnerID=40&md5=353e12a6bd78e61dc13092f568e81ba8,English,MDPI AG,"[""Institute of Transportation Engineering and Geomatics, Tsinghua University, Beijing, 100084, China"", ""Division of Biosciences, University College London, London, WC1E 6BT, United Kingdom""]","Predicting and interpreting the spatial location and causes of traffic accidents is one of the current hot topics in traffic safety. This research purposed a multi-dimensional long-short term memory neural network model (MDLSTM) to fit the non-linear relationships between traffic accident characteristics and land use properties, which are further interpreted to form local and general rules. More variables are taken into account as the input land use properties and the output traffic accident characteristics. Five types of traffic accident characteristics are simultaneously predicted with higher accuracy, and three levels of interpretation, including the hidden factor-traffic potential, the potential-determine factors, which varies between grid cells, and the general rules across the whole study area are analyzed. Based on the model, some interesting insights were revealed including the division line in the potential traffic accidents in Shenyang (China). It is also purposed that the relationship between land use and accidents differ from previous researches in the neighboring and regional aspects. Neighboring grids have strong spatial connections so that the relationship of accidents in a continuous area is relatively similar. In a larger region, the spatial location is found to have a great influence on the traffic accident and has a strong directionality. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 10 May 2021
Correspondence Address: Wang, J.; Institute of Transportation Engineering and Geomatics, China; email: jy-wang15@tsinghua.org.cn | RAYYAN-INCLUSION: {""LUCAS""=>""Included"", ""Fagner ""=>""Included""} | RAYYAN-LABELS: MDLSTM,Revisado,MachineLearning,Neural Networks,Spatio-temporal | USER-NOTES: {""Fagner ""=>[""P 66\nCS 3.4""]}",,Interpretation;MDLSTM;Spatial;Traffic accident;article;China;grid cell;human cell;land use;long short term memory network;traffic accident,,
rayyan-169523203,Statistical evaluation of bis-11 and daq tools in the field of traffic psychology,2021,,,Mathematics,22277390 (ISSN),9,4,1-19,"Čulík, K. and Kalašová, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101911580&doi=10.3390%2fmath9040433&partnerID=40&md5=f2518e7cb6e9ce4fe2d85cb6f2835e54,English,MDPI AG,"Department of Road and Urban Transport, University of Žilina, Univerzitná 1, Žilina, 01026, Slovakia","This paper focuses on the statistical evaluation of two independent research tools in the field of traffic psychology. Our research focuses on young drivers in the Slovak Republic and conducts an international comparison. At present, these young drivers make up only about 7% of the total number of drivers, but they cause about 20% of accidents. The paper analyzes the traffic accident rate of young as well as inexperienced drivers. All drivers in the survey had a short period of driving experience. The traffic-psychological survey obtained detailed data via two independent tools. We aimed to find relations between the factors and subfactors of the tools used, namely the BIS-11 (Barratt Impulsiveness Scale) and DAQ (Driver Attitude Questionnaire). The researchers also used these tools in other countries, so it was possible to compare the results obtained. The results from these tools should reveal the psychological causes of as many traffic accidents as possible. Our paper shows the possibilities for the evaluation of the tools used with correlation analysis. The results of our research are shown in symmetrical matrixes of correlation coefficients. Our study also compares its values with the results of foreign authors. Such research has revealed some facts about young drivers’ violations connected with drunk driving, speeding, and other traffic offenses. Our aim was to find connections between the driver’s history (skills, traffic accidents, age, etc.) and psychological characteristics, and we have answered several research questions. In conclusion, we have highlighted the most significant relationships between the factors of driver psychology. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 10 May 2021
Correspondence Address: Čulík, K.; Department of Road and Urban Transport, Univerzitná 1, Slovakia; email: kristian.culik@fpedas.uniza.sk | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Ambiental",,BIS-11;Correlation;DAQ;Driver;Traffic accident;Traffic psychology;Self Psychology,,
rayyan-169523204,Identification of hotspot segments with a risk of heavy-vehicle accidents based on spatial analysis at controlled-access highway,2021,,,Sustainability (Switzerland),20711050 (ISSN),13,3,1-19,"Manap, N. and Borhan, M.N. and Yazid, M.R.M. and Hambali, M.K.A. and Rohan, A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100488857&doi=10.3390%2fsu13031487&partnerID=40&md5=3fbc54a5870e822ff8d1763931463b06,English,MDPI AG,"[""Department of Civil Engineering, Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, Bangi, 43600, Malaysia"", ""Department of Polytechnic & Community College Education, Ministry of Higher Education Malaysia, Putrajaya, 462100, Malaysia"", ""Sustainable Urban Transport Research Centre (SUTRA), Faculty of Engineering and Built Environment, Universiti Kebangsaan Malaysia, Bangi, 43600, Malaysia"", ""Department of Project Management, Malaysian Highway Authority, Kajang, 43000, Malaysia""]","Significant risk factors that influence the occurrence of heavy vehicle accidents have been explored in numerous studies in order to lower injury severity in traffic accidents. It is imperative to explore road sections with a high risk of heavy vehicle accident occurrence by considering the significant consequences of such accidents for road users, despite the low number of heavy vehicles in traffic flow. To address this, this study proposes a method to predict clustering hotspots for heavy vehicle accidents on the basis of three different criteria, namely, heavy vehicle accident cases, the number of heavy vehicles involved, and accident severity index values. Moran’s I spatial autocorrelation was employed to identify the clustering for each criterion, and the Getis–Ord Gi* statistic was applied to estimate the likelihood of risk along the network. This study considers the features of hotspot points at significance levels from 0.10 to 0.01 with a 1355 m buffer radius to create segments for each criterion. The three criteria for hotspots were considered within the overlapped buffer zone. A total of 22 heavy vehicle risk segments (HVRSs) were identified and then ranked by crash rate. Overall, this study demonstrates the application of different criteria to identify accident hotspots involving a specific vehicle type, which could help in prioritizing segments with a high risk of heavy vehicle accidents, as well as providing information for HVRSs for the purpose of developing appropriate countermeasures for the identified accident hotspots. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 10 May 2021
Correspondence Address: Borhan, M.N.; Department of Civil Engineering, Malaysia; email: mnazri_borhan@ukm.edu.my
Correspondence Address: Borhan, M.N.; Sustainable Urban Transport Research Centre (SUTRA), Malaysia; email: mnazri_borhan@ukm.edu.my | RAYYAN-INCLUSION: {""LUCAS""=>""Excluded"", ""Fagner ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: Highway",,Buffering techniques;Getis–Ord Gi*;Heavy vehicle hotspot;Heavy vehicle risk segment;Malaysia;Moran’s I spatial autocorrelation;Overlap accident criteria;accident;accident prevention;autocorrelation;identification method;motorway;prediction;prioritization;risk assessment;risk factor;road;spatial analysis;traffic emission,,
